sleep_need,evening_relevance,screen_load,stress_load,mood_need,energy_need,activity_need,connection_need,phone_context,cognitive_context,relaxation_context,exercise_context
0.33636501200280844,0.24766380113907163,0.5625968251944635,0.75,0.75,0.5,0.46596181968382483,0.25,0.0,1.0,0.0,0.0
0.7906197676387515,0.8643443850299,0.7568622682643286,0.5,0.75,0.25,0.7310585786300049,0.25,1.0,0.0,0.0,0.0
0.5175640629269012,4.5397868702434395e-05,0.7704336801812601,0.75,0.5,0.25,0.7310585786300049,0.25,1.0,0.0,0.0,0.0
0.35255339933260765,0.00183972767992767,0.8374761671070989,1.0,0.75,0.5,0.8175744761936437,0.0,1.0,0.0,0.0,0.0
0.9157804670964638,0.06961667267307138,0.7310870200535406,0.75,0.5,0.75,0.46596181968382483,0.5,0.0,0.0,0.0,1.0
0.4098196524123015,0.01672352256780961,0.4085302307399967,0.5,0.0,0.25,0.7220283862407638,0.25,0.0,0.0,1.0,0.0
0.9142263143787853,0.13565561497010006,0.8478563333890505,1.0,1.0,1.0,0.5677623235383435,0.5,0.0,1.0,0.0,0.0
0.8373544455274683,0.06961667267307138,0.7391384983770993,0.75,0.75,1.0,0.7399010923290019,0.25,0.0,1.0,0.0,0.0
0.20865243526001487,0.24766380113907163,0.7096749069529109,0.75,0.25,0.25,0.03495268578525511,0.5,0.0,1.0,0.0,0.0
0.8416393643945128,9.521676958638512e-05,0.7539169000654379,0.5,0.5,0.5,0.9386168925965079,0.25,1.0,0.0,0.0,0.0
0.6260245887726821,0.01672352256780961,0.6013435033620325,0.5,0.5,0.75,0.9302742075633305,0.5,0.0,1.0,0.0,0.0
0.8746694432218178,0.40845153006066437,0.728752673040757,0.75,0.75,0.75,0.7652745601971698,0.25,0.0,1.0,0.0,0.0
0.7548917248630226,0.008043501028099882,0.6599953472260272,0.25,0.5,0.5,0.15685486172036478,0.5,0.0,0.0,1.0,0.0
0.4056458605506524,0.03444519566621118,0.5034122842335462,0.5,0.75,0.5,0.44342513010268936,0.75,1.0,0.0,0.0,0.0
0.47270103232726496,4.5397868702434395e-05,0.6796697687295304,0.75,0.25,0.5,0.6539309937088769,0.25,0.0,0.0,0.0,1.0
0.5196214767316507,0.00183972767992767,0.5831488868451045,0.25,0.5,0.25,0.757011372822882,0.5,0.0,1.0,0.0,0.0
