p_connect_socially,p_maintain_habits,p_prepare_for_bed,p_reduce_screen_time,p_stay_active,p_take_a_short_break
0.1146950806983506,0.1793546667192245,0.11346137551794962,0.294518767285625,0.24999352519577006,0.04797658458308011
0.009343898202717976,0.018482637017552112,0.8750445188006476,0.038997411643613526,0.008928456001525906,0.04920307833394276
0.17010583897222087,0.27926580678930807,0.07233804542749815,0.05947685057498068,0.28852689457211184,0.1302865636638804
0.10207442821076954,0.05842295436811792,0.10954130623329685,0.03024380746100702,0.1239257389274814,0.5757917647993274
0.16071750098483756,0.058221251096187705,0.3336753955841517,0.05554213013430662,0.10336772221145987,0.2884759999890565
0.24915796877898125,0.133664118657269,0.1049320985488514,0.030120497188536908,0.2238819474741109,0.25824336935225056
0.253927979812976,0.02453585899758948,0.12414687268698346,0.14032800180823748,0.07319784372431076,0.383863442969903
0.17205582019825966,0.21658072936876477,0.3449195050320948,0.12157666958826223,0.07289687777555838,0.07197039803706015
0.1059001269386728,0.026863757323401304,0.3899427096980699,0.024177386470456794,0.057624476993653126,0.3954915425757461
0.04648894893802714,0.1869956624845066,0.11761388205037777,0.1557647395901236,0.270118084473974,0.22301868246299086
0.22253673129548332,0.05103540133857402,0.17158191653543153,0.048668872636077325,0.02559018587497256,0.4805868923194611
0.12260734816953246,0.15113572575405865,0.29438667971499133,0.024235075871411653,0.22609408948547333,0.18154108100453253
0.599049902945762,0.02923211431642193,0.02845765226828436,0.05809754835383948,0.06131854562900933,0.2238442364866827
0.43675141796669353,0.05757088942775699,0.07147494576503009,0.11003309073599465,0.08972430053904686,0.23444535556547813
0.14460791440569523,0.027810794614503986,0.18202739957822497,0.018069873146336946,0.012940376406519247,0.6145436418487197
0.59541607014208,0.0354039250505072,0.03702742334579235,0.05742545268653595,0.07203783543869509,0.2026892933363893
0.5042481825651857,0.009255130087738452,0.01083819404537752,0.010912664496325573,0.018407879038408754,0.44633794976696395
0.044174492149402216,0.14387159917475872,0.12160844249157123,0.04787895018931728,0.21715220309681088,0.42531431289813965
0.6060950128943666,0.010899181716358149,0.07126470848209374,0.010680923415902554,0.02843262845750423,0.2726275450337746
0.025552111618098363,0.016238818627879473,0.1866098606395652,0.018315275561226144,0.04213334201569456,0.7111505915375362
0.08600641119993921,0.1018344649470372,0.6775439449338796,0.040385046900542926,0.028356556860886027,0.06587357515771498
0.5986717867958811,0.01202354226954216,0.08419983947068599,0.007731930907597498,0.028084396208229688,0.26928850434806373
0.7722459992676171,0.021402703937772244,0.006749608798974979,0.07488036128872481,0.051601107531074414,0.07312021917583666
0.7261396033748704,0.07735194990528999,0.09402025604522046,0.0149421625962916,0.020184922020318758,0.06736110605800878
0.4595208567422217,0.015800518926632784,0.15316158068860308,0.15277358787294434,0.04703639961056891,0.17170705615902915
0.07493288964271777,0.4281794796366964,0.15828551708313807,0.05736780030543874,0.0846314934129257,0.19660281991908335
0.08881360016751587,0.12422679731347669,0.21423789664583343,0.10655482973900017,0.2858404096691165,0.18032646646505726
0.04480850867131619,0.20669606136727897,0.06369096610246607,0.12608271567412058,0.29051852929773453,0.2682032188870836
0.18470121597272968,0.04549359613909442,0.17028946604718204,0.09137160954246128,0.10926621526454593,0.3988778970339867
0.49979101259234787,0.09206025457396537,0.04256073545617587,0.09231066372313902,0.13194140035644014,0.1413359332979317
0.1853628056697029,0.0910141120222957,0.05911888440670873,0.41192332048543445,0.15320087966166304,0.09937999775419525
0.25222025885442756,0.23092367340233821,0.05678294552190323,0.05780757533597759,0.29692426380433884,0.10534128308101466
0.3384790935315547,0.030413651002557742,0.17833424327314676,0.015907173844576294,0.05882966123843226,0.37803617710973214
0.3497233116302478,0.08824293924564994,0.14722204878372241,0.03399096487879466,0.14084285864750898,0.23997787681407637
0.45947694748549395,0.021997938777705273,0.08790266014246328,0.2894855336646066,0.055590915984070774,0.08554600394566
0.6400449385764634,0.04437559561821292,0.041647144283624815,0.07733057307348608,0.07743736568537472,0.11916438276283808
0.22196996727904067,0.026126602012371984,0.04411031710413823,0.03027915727296188,0.06398555601611301,0.6135284003153743
0.1356759414770942,0.02665478956684342,0.21996349457703396,0.2667581736230994,0.07382668363340701,0.2771209171225222
0.15905530102419949,0.09523355522349773,0.09996774261309194,0.14823312152312873,0.24814732527876415,0.24936295433731795
0.48095172878755843,0.013783290198195202,0.0652169662634576,0.21110292625316243,0.04923005643100982,0.17971503206661646
0.5949305126154733,0.016978914634187187,0.2158130029845395,0.005953450396712756,0.03298783414029137,0.13333628522879612
0.7275877029836011,0.013364453966858115,0.013915355079928924,0.032005817654654385,0.034131993151356205,0.1789946771636013
0.1974863436523293,0.1676123610923946,0.2580189561580826,0.06140840890376626,0.20974548596585824,0.10572844422756904
0.29135749431375857,0.11624814964034985,0.20263379093108294,0.03665066128666525,0.039601276825285255,0.3135086270028582
0.5233443739700762,0.10094025444924312,0.02380707510035199,0.0657523803110018,0.13815932625942856,0.14799658990989828
0.6229309229754681,0.04245435750784582,0.09272881226868603,0.08393771204494137,0.0968493883515337,0.06109880685152506
0.13344001421014695,0.03753216821487083,0.15115366592528912,0.33271013567126384,0.072610026552077,0.27255398942635223
0.3733233708620258,0.21091856172994394,0.12202090246987146,0.0587915265922219,0.0722761865886054,0.16266945175733144
0.3622942333508465,0.05376975876352021,0.1007377565172918,0.08687131948844436,0.12344127846799496,0.27288565341190213
0.754337285883496,0.069745771321767,0.038632309687040796,0.04050009870356742,0.022797024021834988,0.07398751038229388
0.19926899665924575,0.01715564603952474,0.0999245383370257,0.046166630181092676,0.044700314127578085,0.5927838746555331
0.303893146004354,0.11749795268733557,0.07330028413094544,0.02598717591220183,0.04192786532076579,0.43739357594439743
0.07566068062245587,0.10281383557987259,0.40689406362676894,0.08619311298497306,0.036834357184238865,0.29160395000169065
0.1857117717221103,0.040001623991297815,0.13838605577680274,0.12497622736697368,0.10986404350009447,0.40106027764272106
